,상품 제목,포스터 URL,상세 포스터 URL,공연장소,캐스팅 리스트,해당 링크,시작일,종료일,종료일_date
0,2024 BAEKHYUN ASIA TOUR ‘Lonsdaleite［dot］’,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024061410531073a673de-921e-4b8f-afc9-b8ca3d675e33.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240617143451bf35c056-dfad-4321-b9a8-deef3dc6bd28.jpg/melon/quality/90/optimize,KSPO DOME (올림픽 체조경기장),백현 (BAEKHYUN),https://ticket.melon.com/performance/index.htm?prodId=210013,2024.07.27,2024.07.28,2024-07-28
1,IVE THE 1ST WORLD TOUR ‘SHOW WHAT I HAVE’－ENCORE,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240612161509b51887c0-d676-4010-a0c7-f22405ee9c7f.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024061812235677bdba0a-0433-438b-8f80-7f89db0fc24a.jpg/melon/quality/90/optimize,KSPO DOME (올림픽 체조경기장),IVE (아이브),https://ticket.melon.com/performance/index.htm?prodId=209989,2024.08.10,2024.08.11,2024-08-11
2,2024 박서준 팬미팅 ‘서준시（時）’－서울,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406191706504d7d1a9d-0c2f-49e0-a221-a610df9d794a.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406271340585dc25d4b-cb1a-44f9-a17f-e89b23dc8633.jpg/melon/quality/90/optimize,올림픽공원?올림픽홀,박서준,https://ticket.melon.com/performance/index.htm?prodId=210011,2024.08.10,2024.08.10,2024-08-10
3,2024 김연경 팬미팅［ 그 해 여름：연경이었다 ］,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024061809155063fb2533-55cd-41cd-b76d-809c7ab60fae.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240618091621bc688862-2a5f-4176-95b8-0199716aaa38.jpg/melon/quality/90/optimize,세종대학교?대양홀,,https://ticket.melon.com/performance/index.htm?prodId=209997,2024.07.27,2024.07.27,2024-07-27
4,이준형 EP 선공개 콘서트 〈피할 수 없는〉,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240621163746b0dca7c5-0308-4e16-a593-745f154d0d70.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024062116380138ef72da-8a3e-4da8-a2e2-3e014b050fc0.jpg/melon/quality/90/optimize,CJ아지트 광흥창,이준형,https://ticket.melon.com/performance/index.htm?prodId=210035,2024.07.27,2024.07.27,2024-07-27
5,NO HIPHOP NO LIFE（노힢노랖）Vol．002－노엘（NO：EL）,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240620140400182328ec-5efb-4b01-8b98-5b576667d64c.png/melon/resize/180x254/strip/true/quality/90/optimize,https://i.namu.wiki/i/Q_IXq7dWDGtUxGHGKbRCC5_I9X2AG7tvZRs8D3Bs34AV6mumP0Sqou_0NP3yqzbWM9X3LiaKIhBFYMsS-ZGt5xbSKxFUtTGEWVt3p9lIgQ8MTJwrTXEK44Mw-kGAVpnnUs41zeeXbi6Zqpsm_6Qa_A.webp,대구 라이브홀 락왕,,https://ticket.melon.com/performance/index.htm?prodId=210034,2024.08.24,2024.08.24,2024-08-24
7,타임피버（TimeFeveR）단독 콘서트 FEVERTIME Vol．1,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240624104352d561a73c-f5e9-46e3-afbc-11a44a3f62c3.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240624111147eab7b318-0ce2-4e47-9014-fbc8d4f69294.jpg/melon/quality/90/optimize,스페이스 브릭,TimeFeveR (타임피버),https://ticket.melon.com/performance/index.htm?prodId=210037,2024.07.20,2024.07.20,2024-07-20
8,2024 네미시스 라이브 콘서트 ‘여름 편지’,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240618183935fc6bc92c-c99f-472c-9471-85526fb037f5.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024061818492699790876-ad6c-4e9a-befc-292b25157743.jpg/melon/quality/90/optimize,웨스트브릿지?라이브홀,네미시스,https://ticket.melon.com/performance/index.htm?prodId=210030,2024.07.20,2024.07.20,2024-07-20
9,맥거핀 단독 콘서트：DICE,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406171456351a07d278-2c7a-45a8-a7db-29079b833e7d.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240617150745ea7de64b-3724-4488-b1ca-a85cf28cdd20.jpg/melon/quality/90/optimize,롤링홀,맥거핀 (MGFF),https://ticket.melon.com/performance/index.htm?prodId=210018,2024.07.27,2024.07.27,2024-07-27
10,사사롭고,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240614135046580f02ab-76b4-4fab-a754-ed4c8b4a7d7f.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406271753580b56a230-69a7-46a9-8cb3-8e6ba71d7539.jpg/melon/quality/90/optimize,얼라이브홀,"달담, 현서 (HYUN SEO)",https://ticket.melon.com/performance/index.htm?prodId=210014,2024.07.07,2024.07.07,2024-07-07
11,김아름 1st 단독 콘서트 썸머 시티,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240619101626d4000ece-6a8b-4c25-b30a-49881e6d25b1.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240619101707493e1c19-622c-4b42-98d6-694cd9f1050f.jpg/melon/quality/90/optimize,"현대카드 UNDERSTAGE, 언더스테이지",김아름,https://ticket.melon.com/performance/index.htm?prodId=210029,2024.08.03,2024.08.03,2024-08-03
12,위수 단독공연 〈LOVE ON AIR〉,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240624142301ba7889e9-833e-41b8-8f3f-d24fc317a707.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240626154942766de6ae-d6e0-418e-ac54-309c3aa2ae14.jpg/melon/quality/90/optimize,홍대 DSM 아트홀,위수 (WISUE),https://ticket.melon.com/performance/index.htm?prodId=210045,2024.07.13,2024.07.13,2024-07-13
