,상품 제목,포스터 URL,상세 포스터 URL,공연장소,캐스팅 리스트,해당 링크,시작일,종료일,종료일_date
0,2024 VANNER 1ST ENCORE CONCERT [THE FLAG：A TO V] IN SEOUL,http://tkfile.yes24.com/upload2/PerfBlog/202406/20240626/20240626-49958.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240618/24061808_01.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240618/24061808_02.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240618/24061808_03.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240618/24061808_04.jpg",YES24 LIVE HALL,배너(VANNER),http://ticket.yes24.com/Special/49958,2024.07.27,2024.07.28,2024-07-28
1,THE BOYZ WORLD TOUR : ZENERATION Ⅱ,http://tkfile.yes24.com/upload2/PerfBlog/202405/20240527/20240527-49700.jpg,"http://tkfile.yes24.com/Upload2/Board/202405/20240531/49700k1_01_1.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240531/49700k1_02.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240531/49700k1_03.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240531/49700k1_04.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240531/49700k2_01.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240531/49700k2_02.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240531/49700k2_03.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240531/49700k2_04.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240531/49700k3_01.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240531/49700k3_02.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240531/49700k3_03.jpg",KSPO DOME(올림픽체조경기장),더보이즈 (THE BOYZ),http://ticket.yes24.com/Special/49700,2024.07.12,2024.07.14,2024-07-14
2,[수원] 2024 이찬원 콘서트 ‘ 찬가（燦歌）’,http://tkfile.yes24.com/upload2/PerfBlog/202405/20240521/20240521-49580.jpg,"http://tkfile.yes24.com/Upload2/Board/202405/20240524/24052423_01.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240524/24052423_02.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240524/24052423_03.jpg",수원실내체육관,이찬원,http://ticket.yes24.com/Perf/49580,2024.07.27,2024.07.28,2024-07-28
3,BADA THE OCEAN CONCERT ‘PINK SUMMER DREAM’,http://tkfile.yes24.com/upload2/PerfBlog/202406/20240625/20240625-50062_1.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240625/24062508.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240625/24062509.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240625/24062510.jpg",삼성동 백암아트홀,바다(BADA),http://ticket.yes24.com/Perf/50062,2024.07.21,2024.07.21,2024-07-21
4,WOOAH FAN CONCERT [WOOAH - LAND],http://tkfile.yes24.com/upload2/PerfBlog/202406/20240624/20240624-50040.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240625/24062505_01.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240625/24062505_02.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240625/24062505_03.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240625/24062505_04.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240625/24062505_05.jpg",YES24 LIVE HALL,WOOAH,http://ticket.yes24.com/Special/50040,2024.07.20,2024.07.20,2024-07-20
5,스웨이드 내한공연 (Suede Live in Seoul),http://tkfile.yes24.com/upload2/PerfBlog/202406/20240617/20240617-50045.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240617/24061705_01.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240617/24061705_02.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240617/24061705_03.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240617/24061705_04.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240617/24061705_05.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240617/24061705_06.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240617/24061705_07.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240617/24061705_08.jpg",KBS 아레나(구88체육관),스웨이드 (Suede),http://ticket.yes24.com/Special/50045,2024.08.23,2024.08.23,2024-08-23
6,Shuka Saito Fan Meeting in Seoul (presented by KOE),http://tkfile.yes24.com/upload2/PerfBlog/202406/20240620/20240620-50089.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240620/24062002.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240620/24062003.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240620/24062022.jpg",성암아트홀,"사이토 슈카, 남도형",http://ticket.yes24.com/Perf/50089,2024.07.27,2024.07.27,2024-07-27
7,[안동] 2024 이찬원 콘서트 ‘ 찬가（燦歌）’,http://tkfile.yes24.com/upload2/PerfBlog/202405/20240514/20240514-49579.jpg,"http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051407_01.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051407_02.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051407_03.jpg",안동실내체육관,이찬원,http://ticket.yes24.com/Perf/49579,2024.07.13,2024.07.14,2024-07-14
8,2024 전주얼티밋뮤직페스티벌 사전예매,http://tkfile.yes24.com/upload2/PerfBlog/202406/20240626/20240626-50136.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240628/24062808_01.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240628/24062808_02.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240628/24062808_03.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240628/24062808_04.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240628/24062808_05.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240628/24062808_06.jpg",전주종합경기장,"DJ 이하늘X배드키즈, 강산에, 김경호밴드, 김목경밴드, UV, YB, XANDRIA, LOVEBITES, 장기하, 로맨틱펀치, 카더가든, 린",http://ticket.yes24.com/Perf/50136,2024.08.09,2024.08.11,2024-08-11
9,나씽 벗 띠브스 내한공연 (Nothing But Thieves Live in Seoul),http://tkfile.yes24.com/upload2/PerfBlog/202406/20240610/20240610-49978_1.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240611/24061101_01.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240611/24061101_02.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240611/24061101_03.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240611/24061101_04.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240611/24061101_05.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240611/24061101_06.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240611/24061101_07.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240611/24061101_08.jpg",KBS 아레나(구88체육관),나씽 벗 띠브스 (Nothing But Thieves),http://ticket.yes24.com/Perf/49978,2024.08.21,2024.08.21,2024-08-21
10,[대전] 메타코미디 “Stand-up Assemble Comedy 24′TOUR”,http://tkfile.yes24.com/upload2/PerfBlog/202405/20240509/20240509-49596.jpg,"http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051413_01.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051413_02.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051413_03.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051413_04.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051413_05.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051413_06.jpg",충남대학교 정심화홀,"대니초, 김주환, 송하빈, 손동훈, 김영구",http://ticket.yes24.com/Perf/49596,2024.07.06,2024.07.06,2024-07-06
