상품 제목,포스터 URL,상세 포스터 URL,공연장소,공연기간,캐스팅 리스트,해당 링크
2024 TREASURE RELAY TOUR ［REBOOT］ FINAL IN SEOUL,http://ticketimage.interpark.com/Play/image/large/24/24008528_p.gif,"https://ticketimage.interpark.com/Play/image/etc/24/24008528-02.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008528-05.jpg",올림픽공원 KSPO DOME(자세히),2024.08.15,트레저,https://tickets.interpark.com/goods/24008528
두아 리파 내한공연,http://ticketimage.interpark.com/Play/image/large/24/24007623_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24007623-05.jpg,고척스카이돔(자세히),2024.12.04 ~2024.12.05,두아 리파,https://tickets.interpark.com/goods/24007623
싸이흠뻑쇼 SUMMERSWAG2024 - 인천,http://ticketimage.interpark.com/Play/image/large/24/24007199_p.gif,"https://ticketimage.interpark.com/Play/image/etc/24/24007199-06.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24007402-08.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24007199-05.jpg",인천아시아드 주경기장(자세히),2024.08.17 ~2024.08.18,싸이,https://tickets.interpark.com/goods/24007199
"송소희, 두번째달, 김준수의 모던민요 - 여주",http://ticketimage.interpark.com/Play/image/large/24/24009112_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24009112-01.jpg,세종국악당(자세히),2024.08.17,,https://tickets.interpark.com/goods/24009112
싸이흠뻑쇼 SUMMERSWAG2024 - 대구,http://ticketimage.interpark.com/Play/image/large/24/24007190_p.gif,"https://ticketimage.interpark.com/Play/image/etc/24/24007190-05.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24007402-08.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24007190-04.jpg",대구스타디움 주경기장(자세히),2024.07.13 ~2024.07.14,싸이,https://tickets.interpark.com/goods/24007190
싸이흠뻑쇼 SUMMERSWAG2024 - 부산,http://ticketimage.interpark.com/Play/image/large/24/24007168_p.gif,"https://ticketimage.interpark.com/Play/image/etc/24/24007168-06.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24007402-08.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24007168-04.jpg",부산아시아드 주경기장(자세히),2024.08.10 ~2024.08.11,싸이,https://tickets.interpark.com/goods/24007168
싸이흠뻑쇼 SUMMERSWAG2024 - 대전,http://ticketimage.interpark.com/Play/image/large/24/24007302_p.gif,"https://ticketimage.interpark.com/Play/image/etc/24/24007302-10.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24007402-08.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24007302-09.jpg",대전목원대학교 대운동장(자세히),2024.07.27 ~2024.07.28,싸이,https://tickets.interpark.com/goods/24007302
싸이흠뻑쇼 SUMMERSWAG2024 - 수원,http://ticketimage.interpark.com/Play/image/large/24/24007402_p.gif,"https://ticketimage.interpark.com/Play/image/etc/24/24007402-09.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24007402-08.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24007402-10.jpg",수원월드컵경기장 주경기장(자세히),2024.08.24 ~2024.08.25,싸이,https://tickets.interpark.com/goods/24007402
［2024 Theatre 이문세］ - 성남,http://ticketimage.interpark.com/Play/image/large/24/24008458_p.gif,"https:https://ticketimage.interpark.com/Play/ITM/Data/Modify/2024/6/2024061416110956.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008458-02.jpg",성남아트센터 오페라하우스(자세히),2024.09.28 ~2024.09.29,이문세,https://tickets.interpark.com/goods/24008458
싸이흠뻑쇼 SUMMERSWAG2024 - 광주,http://ticketimage.interpark.com/Play/image/large/24/24007211_p.gif,"https://ticketimage.interpark.com/Play/image/etc/24/24007211-08.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24007402-08.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24007211-06.jpg",광주월드컵경기장(자세히),2024.07.06 ~2024.07.07,싸이,https://tickets.interpark.com/goods/24007211
