상품 제목,포스터 URL,상세 포스터 URL,공연장소,공연기간,캐스팅 리스트,해당 링크
2024 BAEKHYUN ASIA TOUR ‘Lonsdaleite［dot］’,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024061410531073a673de-921e-4b8f-afc9-b8ca3d675e33.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240617143451bf35c056-dfad-4321-b9a8-deef3dc6bd28.jpg/melon/quality/90/optimize,KSPO DOME (올림픽 체조경기장),2024.07.27 - 2024.07.28,['백현 (BAEKHYUN)'],https://ticket.melon.com/performance/index.htm?prodId=210013
IVE THE 1ST WORLD TOUR ‘SHOW WHAT I HAVE’－ENCORE,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240612161509b51887c0-d676-4010-a0c7-f22405ee9c7f.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024061812235677bdba0a-0433-438b-8f80-7f89db0fc24a.jpg/melon/quality/90/optimize,KSPO DOME (올림픽 체조경기장),2024.08.10 - 2024.08.11,['IVE (아이브)'],https://ticket.melon.com/performance/index.htm?prodId=209989
2024 박서준 팬미팅 ‘서준시（時）’－서울,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406191706504d7d1a9d-0c2f-49e0-a221-a610df9d794a.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406271340585dc25d4b-cb1a-44f9-a17f-e89b23dc8633.jpg/melon/quality/90/optimize,올림픽공원?올림픽홀,2024.08.10 - 2024.08.10,['박서준'],https://ticket.melon.com/performance/index.htm?prodId=210011
2024 김연경 팬미팅［ 그 해 여름：연경이었다 ］,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024061809155063fb2533-55cd-41cd-b76d-809c7ab60fae.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240618091621bc688862-2a5f-4176-95b8-0199716aaa38.jpg/melon/quality/90/optimize,세종대학교?대양홀,2024.07.27 - 2024.07.27,[],https://ticket.melon.com/performance/index.htm?prodId=209997
이준형 EP 선공개 콘서트 〈피할 수 없는〉,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240621163746b0dca7c5-0308-4e16-a593-745f154d0d70.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024062116380138ef72da-8a3e-4da8-a2e2-3e014b050fc0.jpg/melon/quality/90/optimize,CJ아지트 광흥창,2024.07.27 - 2024.07.27,['이준형'],https://ticket.melon.com/performance/index.htm?prodId=210035
NO HIPHOP NO LIFE（노힢노랖）Vol．002－노엘（NO：EL）,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240620140400182328ec-5efb-4b01-8b98-5b576667d64c.png/melon/resize/180x254/strip/true/quality/90/optimize,,대구 라이브홀 락왕,2024.08.24 - 2024.08.24,[],https://ticket.melon.com/performance/index.htm?prodId=210034
2024 EXCON（엑스콘）－HIPHOP DAY（경주힙페）,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/20240531162216aa988db2-d5be-4932-bd92-50c0627a0b61.png/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240618105916315aa916-92e2-4dd6-862f-6e0fe1d6e08f.png/melon/quality/90/optimize,경주엑스포대공원 백결공연장,2024.06.29 - 2024.06.29,"['쿠기 (Coogie)', '로꼬', '한요한', '키드밀리 (Kid Milli)', '우원재', '저스디스 (JUSTHIS)', 'JAEHA (재하)', '호미들', 'CK', 'Louie', 'Chin', 'Skinny Brown', 'Gist', '스카이민혁 (Skyminhyuk)', 'PATEKO (파테코)', 'Jayci yucca (제이씨 유카)', 'Kid Wine']",https://ticket.melon.com/performance/index.htm?prodId=209935
타임피버（TimeFeveR）단독 콘서트 FEVERTIME Vol．1,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240624104352d561a73c-f5e9-46e3-afbc-11a44a3f62c3.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240624111147eab7b318-0ce2-4e47-9014-fbc8d4f69294.jpg/melon/quality/90/optimize,스페이스 브릭,2024.07.20 - 2024.07.20,['TimeFeveR (타임피버)'],https://ticket.melon.com/performance/index.htm?prodId=210037
2024 네미시스 라이브 콘서트 ‘여름 편지’,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240618183935fc6bc92c-c99f-472c-9471-85526fb037f5.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024061818492699790876-ad6c-4e9a-befc-292b25157743.jpg/melon/quality/90/optimize,웨스트브릿지?라이브홀,2024.07.20 - 2024.07.20,['네미시스'],https://ticket.melon.com/performance/index.htm?prodId=210030
맥거핀 단독 콘서트：DICE,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406171456351a07d278-2c7a-45a8-a7db-29079b833e7d.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240617150745ea7de64b-3724-4488-b1ca-a85cf28cdd20.jpg/melon/quality/90/optimize,롤링홀,2024.07.27 - 2024.07.27,['맥거핀 (MGFF)'],https://ticket.melon.com/performance/index.htm?prodId=210018
